miRNA	miRBase	small melocule	FDA	DB	CID	Detection method 	Species	Condition	PMID	Year	Reference	Support	Expression pattern of miRNA	
miR-669c	MIMAT0003479	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(24h after)	up-regulated	
miR-669c	MIMAT0003479	Reversine	NULL	NULL	210332	Microarray	Mus musculus 	C2C12 myoblast cells	24513286	2014	Reversine induces multipotency of lineage-committed cells through epigenetic silencing of miR-134a	Reversine treatment results in up- and down-regulated miRNA profiles.	up-regulated	
miR-669e	MIMAT0005853	5-aminoimidazole-4-carboxamide-1-?-d-ribofuranoside (AICAR) 	NULL	NULL	16078949	Microarray 	Mus musculus	hepatocytes	23107762	2013	Analysis of microRNA expression profile induced by AICAR in mouse hepatocytes	We  discovered  that  41  miRNAs  were  signi?cantly  altered  in AICAR-treated sample (fold change: >2) compared with untreated control sample. 	down-regulated	
miR-669e	MIMAT0005853	Tert-butyl hydroperoxide (t-BHP)	NULL	NULL	6410	Microarray	Mus musculus 	mouse auditory cells	20510889	2010	Profiles of oxidative stress-related microRNA and mRNA expression in auditory cells.	In comparison with that in unmanipulated control cells,treatment with t-BHP(50, 100, and 200 um)significantly increased the transcription levels of 35 miRNAs, but decreased the  expression  of  40  miRNAs.Treatment  with  50, 100, or 200 um of t-BHP up-regulated the relative levels of 21, 19, and 21 miRNAs, but down-regulated the transcription levels of 30,17, and 33 miRNAs, respectively (Table 1). 	up-regulated	
miR-671	MIMAT0003880	Diethylstilbestrol	approved	DB00255	448537	Microarray	Homo sapiens 	mammosphere-derived epithelial cells (MDEC)	19549897	2009	Xenoestrogen-induced epigenetic repression of microRNA-9-3 in breast epithelial cells.	"To determine whether this heritable effect altered the transcriptome of microRNA genes, we conducted expression microarray analysis of three sets of primary MDECs with a prior history of diethylstilbestrol exposure. Relative to control cells, 9.1% (82 of 898 loci) of microRNAs were differentially expressed, including 37 up-regulated and 45 down-regulated loci, in diethylstilbestrol-preexposed MDECs (Fig. 2A; Supplementary Table S1)."	up-regulated	
miR-671-5p	MIMAT0003731	Hesperidin	NULL	DB04703 	10621	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	up-regulated	
miR-671-5p	MIMAT0003731	Narangin	NULL	NULL	442428	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	up-regulated	
miR-671-5p	MIMAT0003731	Proanthocyanin	NULL	NULL	108065	Microarray	Mus musculus	apoE?/? mice	22253797	2012	Modulation of miRNA expression by dietary polyphenols in apoE deficient mice: a new mechanism of the action of polyphenols	Moreover, changes in miRNA expression were observed after polyphenol supplementation, and five miRNAs (mmu-miR-291b-5p, mmu-miR-296-5p, mmu-miR-30c-1*, mmu-miR-467b* and mmu-miR-374*) were identified as being commonly modulated by these polyphenols	up-regulated	
miR-671-5p	MIMAT0003731	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(8h after)	up-regulated	
miR-671-5p	MIMAT0003731	Tert-butyl hydroperoxide (t-BHP)	NULL	NULL	6410	Microarray	Mus musculus 	mouse auditory cells	20510889	2010	Profiles of oxidative stress-related microRNA and mRNA expression in auditory cells.	In comparison with that in unmanipulated control cells,treatment with t-BHP(50, 100, and 200 um)significantly increased the transcription levels of 35 miRNAs, but decreased the  expression  of  40  miRNAs.Treatment  with  50, 100, or 200 um of t-BHP up-regulated the relative levels of 21, 19, and 21 miRNAs, but down-regulated the transcription levels of 30,17, and 33 miRNAs, respectively (Table 1). 	down-regulated	
miR-671-5p	MIMAT0003880	5-Fluorouracil 	approved	DB00544	3385	Microarray	Homo sapiens 	MCF-7 breast cancer cells	21506117	2011	5-Fluorouracil drug alters the microRNA expression profiles in MCF-7 breast cancer cells.	miRNA microarray analysis of 5-FU treated MCF-7 cells identified a set of 42 miRNAs which were significantly dysregulated between 5-FU treated and control samples (Table 1).	up-regulated	
miR-671-5p	MIMAT0003880	Microcystin-LR (MC-LR) 	NULL	NULL	445434	Quantitative real-time PCR	Homo sapiens 	WRL-68 Cells	22265967	2012	Alterations in microRNA expression linked to microcystin-LR-induced tumorigenicity in human WRL-68 Cells.	We found that the onco-miRNAs miR-21 and miR-221 displayed upregulated expression while the liver-specific miR-122 was downregulated.	up-regulated	
miR-671-5p	MIMAT0003880	Bromocriptine	approved	DB01200	31101	Microarray	Homo sapiens 	Prolactinoma	22366961	2012	microRNA expression profile and differentially-expressed genes in prolactinomas following bromocriptine treatment.	miR-206, miR-516b and miR-550 were confirmed to be significantly upregulated, while miR-671-5p was confirmed to be significantly downregulated in treated prolactinomas by qRT-PCR. 	down-regulated	
miR-671-5p	MIMAT0003880	Bromocriptine	approved	DB01200	31101	Quantitative real-time PCR	Homo sapiens 	Prolactinoma	22366961	2012	microRNA expression profile and differentially-expressed genes in prolactinomas following bromocriptine treatment.	miR-206, miR-516b and miR-550 were confirmed to be significantly upregulated, while miR-671-5p was confirmed to be significantly downregulated in treated prolactinomas by qRT-PCR. 	down-regulated	
miR-672	MIMAT0003735	N-ethyl-N-nitrosourea	NULL	NULL	12967	Quantitative real-time PCR	Mus musculus 	mouse liver	21029445	2010	Genomic analysis of microRNA time-course expression in liver of mice treated with genotoxic carcinogen N-ethyl-N-nitrosourea.	There were 43 miRNAs whose expression was dysregulated by ENU treatment at least at one posttreatment time.The names of those differentially expressed miRNAs (DEMs), their fold changes against the controls and the posttreatment time points when their expression was altered, as well as their possible functions reported in the literature are listed in Table 1	up-regulated	
miR-672	MIMAT0005327	Dexamethasone	approved	DB01234	5743	Microarray	Rattus norvegicus 	primary rat thymocytes	20847043	2010	Glucocorticoids modulate microRNA expression and processing during lymphocyte apoptosis.	Of the 350 microRNAs represented on our chip, 56 were differentially expressed in response to glucocorticoid-induced apoptosis (Fig. 2A). Surprisingly, the majority of these microRNAs (79% or 44 microRNAs) were repressed, and only 12 low abundance microRNAs were weakly induced during this time frame. 	up-regulated	
miR-672	MIMAT0005327	Dexamethasone	approved	DB01234	5743	Microarray	Rattus norvegicus 	adrenals and granulosa cells	24205079	2014	Hormonal regulation of microRNA expression in steroid producing cells of the ovary, testis and adrenal gland	Again, changes in the adrenal miRNA profile on dexamethasone treatment were assessed using microarray. Analysis of the miRNA array showed that expression of 33 miRNAs significantly changed (p<0.05) following treatment with dexamethasone (Fig. 2D).	up-regulated	
miR-672 	MIMAT0005327	Perfluorooctane sulfonate 	NULL	NULL	74483	Microarray	Rattus norvegicus 	brain	22594573	2012	Prenatal and neonatal exposure to perfluorooctane sulfonic acid results in changes in miRNA expression profiles and synapse associated proteins in developing rat brains.	Twenty-four brain miRNAs on PND 1 and 17 on PND 7 were significantly altered with PFOS exposure (P < 0.05), with miR-466b, -672, and -297, which are critical in neurodevelopment and synapse transmission, showing a more than 5-fold reduction.	down-regulated	
miR-674	Dead miRNA entry	Glucose	NULL	NULL	5793	Quantitative real-time PCR	Homo sapiens	endothelial cells	24394957	2014	miRNA-1 regulates endothelin-1 in diabetes.	25mM glucose decreased miR-1 expression and increased ET-3 mRNA and protein levels	down-regulated	
miR-674	MIMAT0003740	Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)	NULL	NULL	8490	Microarray	Mus musculus 	mouse brain	19270793	2009	RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver	The expression levels of 84 miRNAs were significantly altered in mouse brain after RDX exposure (Table 1,Figures 3, 4A).	down-regulated	
miR-674* 	MIMAT0003741	Ursodeoxycholic acid (UDCA)	approved	DB01586	31401	Microarray	Mus musculus 	rat Liver	20689055	2010	Identification of microRNAs during rat liver regeneration after partial hepatectomy and modulation by ursodeoxycholic acid.	When comparing the two feeding groups, the results showed that UDCA significantly changed the expression of 24 miRNAs, by more than 1.5-fold. Approximately half of these changes were positive, with UDCA reducing the expression of 13 miRNAs (table 2).	up-regulated	
miR-675	MIMAT0004284	Emodin	NULL	NULL	3220	Microarray	Homo sapiens	K562 cells	23744534	2013	Emodin can induce K562 cells to erythroid differentiation and improve the expression of globin genes	The mRNA and microRNA (miRNA) expression profiles are further analyzed and 417 mRNAs and 35 miRNAs with differential expression between untreated and emodin-treated K562 cells were identified. 	down-regualted	
miR-675	MIMAT0004284	Emodin	NULL	NULL	3220	Quantitative real-time PCR	Homo sapiens	K562 cells	23744534	2013	Emodin can induce K562 cells to erythroid differentiation and improve the expression of globin genes	The results of Real-time PCR were consistent with microarray, that is, miR-141 was up-regulated and other 8 miRNAs were down-regulated in emodin-treated K562 cells (Fig. 4).	down-regualted	
miR-675-3p	MIMAT0003726	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(4 h after)	up-regulated	
miR-675-3p	MIMAT0003726	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(8h after)	up-regulated	
miR-675-3p	MIMAT0003726	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(8h after)	up-regulated	
miR-675-3p	MIMAT0003726	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(24h after)	up-regulated	
miR-675-3p	MIMAT0003726	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(8h after)	up-regulated	
miR-675-3p	MIMAT0003726	Tert-butyl hydroperoxide (t-BHP)	NULL	NULL	6410	Microarray	Mus musculus 	mouse auditory cells	20510889	2010	Profiles of oxidative stress-related microRNA and mRNA expression in auditory cells.	In comparison with that in unmanipulated control cells,treatment with t-BHP(50, 100, and 200 um)significantly increased the transcription levels of 35 miRNAs, but decreased the  expression  of  40  miRNAs.Treatment  with  50, 100, or 200 um of t-BHP up-regulated the relative levels of 21, 19, and 21 miRNAs, but down-regulated the transcription levels of 30,17, and 33 miRNAs, respectively (Table 1). 	down-regulated	
miR-675-3p	MIMAT0003726	Reversine	NULL	NULL	210332	Microarray	Mus musculus 	C2C12 myoblast cells	24513286	2014	Reversine induces multipotency of lineage-committed cells through epigenetic silencing of miR-134a	Reversine treatment results in up- and down-regulated miRNA profiles.	down-regulated	
miR-675-5p	MIMAT0003725	Reversine	NULL	NULL	210332	Microarray	Mus musculus 	C2C12 myoblast cells	24513286	2014	Reversine induces multipotency of lineage-committed cells through epigenetic silencing of miR-134a	Reversine treatment results in up- and down-regulated miRNA profiles.	down-regulated	
miR-676	MIMAT0003782	Reversine	NULL	NULL	210332	Microarray	Mus musculus 	C2C12 myoblast cells	24513286	2014	Reversine induces multipotency of lineage-committed cells through epigenetic silencing of miR-134a	Reversine treatment results in up- and down-regulated miRNA profiles.	up-regulated	
